Country Name,Country Code,gdp,lit_rate,inflation_rate,urban_rate,export,labor_rate,unemployment_rate,gov_spend,primary_rate
Senegal,SEN,1266.439572,46.09963989,0.8372849426,46.296,21.5608581,50.116,6.705999851,5.11309,
Singapore,SGP,56899.91818,97,-0.5322687397,100,164.7152132,68.04,4.079999924,,99.78927
Solomon Islands,SLB,2082.62989,,0.5124856263,22.823,39.72857612,,0.6579999924,,88.32666
Sierra Leone,SLE,838.6316153,,10.88606094,41.228,15.15141414,,4.586999893,3.06023,68.33249
El Salvador,SLV,3901.34015,88,0.604049087,70.501,28.4585905,60.568,4.418000221,3.82524,92.97918
San Marino,SMR,44359.47977,,0.6440753403,96.91,173.0681692,,,,
Somalia,SOM,460.928492,,,43.816,16.13595789,,11.54599953,,
Serbia,SRB,5982.370301,99,1.122313974,55.81,46.45367044,53.327,15.25699997,3.64027,98.83048
Sub-Saharan Africa (excluding high income),SSA,1445.514085,64.87419128,5.494104638,39.22323019,21.57548613,,6.141869015,,68.19684
South Sudan,SSD,,,379.9995856,19.092,,,,1.5439,
Sub-Saharan Africa,SSF,1446.87391,64.87825775,5.430519661,39.22472367,21.65414643,,6.141869015,,68.22181
Small states,SST,10942.71225,86.0087738,0.6433890559,53.3998021,61.83374561,,,,86.81131
Sao Tome and Principe,STP,1434.870181,,5.430519661,71.092,,,13.39999962,5.17307,77.48247
Suriname,SUR,5644.206106,,55.41238798,66.04,,56.115,7.169000149,,88.04
Slovak Republic,SVK,16636.07691,,-0.5200101963,53.806,92.31168701,60.076,9.670000076,3.91171,92.44306
Slovenia,SVN,21447.83778,,-0.05499954167,54.02,78.43658667,56.596,8,4.80178,97.90015
Sweden,SWE,51820.39725,,0.9842692446,86.852,42.91044742,72.093,6.989999771,7.61862,105.22931
Eswatini,SWZ,3223.920041,,7.847274591,23.459,,51.135,22.71800041,,95.14886
Sint Maarten (Dutch part),SXM,37308.61478,,0.1116826557,100,,,,,
Seychelles,SYC,16566.9946,,-1.015481917,55.831,85.35025741,69.545,,4.42102,112.6462
